regex,url demo,url名称,是否301
'^/favorite/community$',http://user.anjuke.com/favorite/community,用户中心二手房小区收藏页面,
'^/favorite/zufang/(.*)$',http://user.anjuke.com/favorite/zufang/,用户中心租房收藏页面,
 '^/favorite/jinpu/(.*)$',http://user.anjuke.com/favorite/jinpu/W0QQCurNavZ1,用户中心金铺收藏页面,
 '^/compare/property',http://shanghai.anjuke.com/compare/property,房源比较页面,
'^/school/list/(.*)W0QQ.*',http://shanghai.anjuke.com/school/list/,二手房学区方列表页,
^/school/list/(.*)',http://shanghai.anjuke.com/school/list/,二手房学区方列表页,
'^/xuexiao/list/(.*)W0QQ.*',http://shanghai.anjuke.com/xuexiao/list/,二手房学区方列表页,
 '^/xuexiao/list/(.*)',http://shanghai.anjuke.com/xuexiao/list/,二手房学区方列表页,
'^/metromaps/(sale|rent)$',http://shanghai.anjuke.com/metromaps/sale,上海地铁交通图,
 '^/(listptab\.php)(.*)',http://sz.zu.anjuke.com/,租房列表页,301
'^/prop/recommend/([0-9]+)',http://shanghai.anjuke.com/prop/recommend/1313,二手房推荐房源demo,
 '^/prop/view/([0-9]+)$',http://shanghai.anjuke.com/prop/view/204133536,二手房房源单页,
 '^/prop/(view2)/([0-9]+)$',http://shanghai.anjuke.com/prop/view2/204133536,二手房房源单页,
'^/prop/preview/([0-9]+)$',http://shanghai.anjuke.com/prop/preview/204133536,二手房房源单页,
^/prop/publish/list$',http://i.anjuke.com/,发布房源页面,301
 '^/calculator$',http://www.anjuke.com/calculator/loan,房贷计算器,
 '^/calculator/(.*)',http://www.anjuke.com/calculator/loan,房贷计算器,
 '^/view/action/([a-z0-9]+)/(.*)',http://www.anjuke.com/view/action/aa22/,看别人如何找房,
/reg/form,http://www.anjuke.com/reg/form,提交活动表单,
/reg,http://user.anjuke.com/register,快速注册页面,
/register,http://user.anjuke.com/reg,快速注册页面,
'^/pass',http://user.anjuke.com/pass,找回密码页面,
'^/my/login',http://user.anjuke.com/my/login,用户登录页面,
'^/my/dialoglogin',http://shanghai.anjuke.com/my/dialoglogin,,
'^/broker/list',http://shanghai.anjuke.com/broker/list,我的安居客 - 业主委托 - 经纪人列表,
'^/(tycoon)/(.*)W0QQ.*',http://shanghai.anjuke.com/tycoon/,经纪人列表,
'^/(tycoon)/(.*)',http://shanghai.anjuke.com/tycoon/,经纪人列表,
^/tycoon',http://shanghai.anjuke.com/tycoon/,经纪人列表,
 '^/brokerchart',http://shanghai.anjuke.com/brokerchart,未上榜经纪人列表,
'^/lastgetcomment',http://shanghai.anjuke.com/lastgetcomment,经纪人服务排行榜,
'^/store/',http://shanghai.anjuke.com/store/,中介门店列表,
 '^/agency/store/([0-9]+)W0QQ',http://shanghai.anjuke.com/agency/store/93050,门店店铺页,
'^/agency/store/([0-9]+)$',http://shanghai.anjuke.com/agency/store/93050,门店店铺页,
'^/community/view/([0-9]+)W0QQ',http://shanghai.anjuke.com/community/view/598077,小区单页,
'^/community/view/([0-9]+)$',http://shanghai.anjuke.com/community/view/598077,小区单页,
'^/xiaoqu/overview/([0-9]+)$',http://shanghai.anjuke.com/xiaoqu/overview/598077,小区单页,
'^/community/round/([0-9]+)$',http://shanghai.anjuke.com/community/round/598077,小区周报配套,
'^/xiaoqu/round/([0-9]+)$',http://shanghai.anjuke.com/xiaoqu/round/598077,小区周报配套,
'^/community/photos/(a|b)/([0-9]+)$',http://shanghai.anjuke.com/community/photos2/b/598077,小区实景图,
'^/community/photos/(a|b)/details/([0-9]+)_([0-9]+)$',http://shanghai.anjuke.com/community/photos2/b/details/598077_1,小区实景图-大图,
'^/community/details/([0-9]+)$',http://shanghai.anjuke.com/community/details/598077,小区的具体信息页面,
'^/community/trends/([0-9]+)',http://shanghai.anjuke.com/community/trends/598077,小区价格行情,
^/community/today/([0-9]+)$',http://shanghai.anjuke.com/community/today/598077,小区今日价格行情,
'^/community/props/(sale|rent)/([0-9]+)',http://shanghai.anjuke.com/community/props/sale/598077,小区二手房房源,
'^/community/photos/model/details/([0-9]+)W0QQ',http://shanghai.anjuke.com/community/photos/model/details/598077W0QQmZ2337151#navigation,小区具体房型图,
'^/community/qa/([0-9]+)W0QQ',http://shanghai.anjuke.com/community/qa/598077,小区问答,
'^/fang/',http://shanghai.anjuke.com/fang/,最新上海各类房源信息,
^/wenti/',http://shanghai.anjuke.com/wenti/,最新上海房产问题,
'^/(map|ditu)/(sale|rent)(/|)$',http://shanghai.anjuke.com/map/sale/?from=tabtomap,二手房地图列表页,
^/tinyurl$',http://shanghai.anjuke.com/tinyurl,Anjuke TinyUrl,
'^/suvery/',http://campaign.anjuke.com/suvery/,经纪人满意度调查,
'^/year2nd$',http://campaign.anjuke.com/year2nd,安居客两周年活动,
'^/trustunion',http://www.anjuke.com/trustunion,抵制虚假 倡导诚信,
'^/favorprop/',http://www.anjuke.com/favorprop/,最爱房源活动,
'^/survey/customersatisfy/(.*)',http://campaign.anjuke.com/survey/customersatisfy/,用户满意度调查,
'^/survey/star/',http://campaign.anjuke.com/survey/star/,用户满意度调查,
'^/tools/draw/',http://shanghai.anjuke.com/tools/draw/,经纪人房型图绘制页面,
'^/sitemap/',http://shanghai.anjuke.com/sitemap/,网站地图,
'^/help$',http://shanghai.anjuke.com/help,安居客帮助系统,
'^/help/type/([0-9]+)',http://shanghai.anjuke.com/help,安居客帮助系统,
'^/help/question/([0-9]+)$',http://shanghai.anjuke.com/help,安居客帮助系统,
'^/help/search/',http://shanghai.anjuke.com/help,安居客帮助系统,
'^/prop/viewed/',http://shanghai.anjuke.com/prop/viewed/,用户最近看过的房子,
'^/prop/myviewed/(.*)',http://shanghai.anjuke.com/prop/myviewed/,用户中心-》浏览历史,
'^/prop/collection/(.*)',http://user.anjuke.com/prop/collection/,用户房源收藏,
'^/index\.html',http://www.anjuke.com/index.html,全国首页,
'^/view/falsebulletin',http://user.anjuke.com/view/falsebulletin,虚假房源公示,
'^/letters/([A-Z]|[a-z]|[0-9])/$',http://user.anjuke.com/letters/A/,字母搜引页面,
 '^/map/(sale|rent)/feed/',http://user.anjuke.com/map/sale/feed/,地图action_feed,
'^/tools/confirm/',http://shanghai.anjuke.com/tools/confirm/,房源单页访问验证,
'^/tools/propscore',http://shanghai.anjuke.com/tools/propscore,检索房源得分,
'^/tools/listing',http://shanghai.anjuke.com/tools/listing,查询列表页显示工具,
'^/tools/showrank',,,
'^/tools/rankit',,,
'^/tools/memcache/',,,
^/tools/varnish/',,,
'^/tools/monitor/',,,
'^/tools/midprice/',,,
'^/tools/phpfunctionapi',,,
'^/shop/view/([0-9]+)',http://shanghai.anjuke.com/shop/view/128,经纪人店铺单页,
'^/shop/profile/([0-9]+)',http://shanghai.anjuke.com/shop/profile/128,经纪人店铺自我介绍,
'^/shop/(salelist|rentlist)/([0-9]+)',http://shanghai.anjuke.com/shop/salelist/128,经纪人店铺房源列表页,
'^/logout',http://member.anjuke.com/logout?sid=anjuke&url=aHR0cDovL3NoYW5naGFpLmFuanVrZS5jb20v,用户退出,
'^/account/login/$',http://shanghai.anjuke.com/account/login/,登录iframe,
'^/account/loginsuccess/',http://shanghai.anjuke.com/account/loginsuccess/?success=1&_r=1361235108,登录成功,
 '^/account/register/$',http://shanghai.anjuke.com/account/register/,注册,
'^/account/registersuccess/',http://shanghai.anjuke.com/account/registersuccess/?from=&success=1&_r=510326978,注册成功页面,
'^/(rent|rents|rental)/(.*)',http://sh.zu.anjuke.com/,租房列表页,301
'^/prop/rent/([0-9]+)$',http://sh.zu.anjuke.com/fangyuan/24161503?from=Filter_1&__ONLOAD_TIME=1394522237967&__CLICK_TIME=1394522269632,租房单页,
'^/prop/(rent2)/([0-9]+)$',http://sh.zu.anjuke.com/fangyuan/24161503?from=Filter_1&__ONLOAD_TIME=1394522237967&__CLICK_TIME=1394522269632,租房单页,
'^/member/ask/my/$',http://user.anjuke.com/member/ask/3593135/,用户中心-我的问答,
'^/member/ask/([0-9]+)/(.*)$',http://user.anjuke.com/member/ask/3593135/,用户中心-我的问答,
'^/map/run/agencypoint$',http://shanghai.anjuke.com/map/run/agencypoint,,
'^/shop/notfound/?$',http://shanghai.anjuke.com/shop/notfound/,经纪人店铺404,
^/prop/viewyzi/([0-9]+)$',http://shanghai.anjuke.com/prop/viewyzi/285743,发布预览的房源单页,
'^/owner/gujia/*',http://shanghai.anjuke.com/owner/gujia/,业务频道,
'^/owner/*',http://shanghai.anjuke.com/owner/basic,业主频道,
'^/broker/listnew',http://shanghai.anjuke.com/broker/listnew,经纪人委托列表,
'^/member/hihwindow$',http://shanghai.anjuke.com/member/hihwindow,业主委托帮助,
'^/gujia/$',http://shanghai.anjuke.com/gujia/W0QQkeywordZ%E9%98%B3%E5%85%89%E8%91%A1%E6%8F%90%E5%85%AC%E9%A6%86QQcommunity_idZ598077,估房价,
'^/mmlog$',http://shanghai.anjuke.com/mmlog,MobileMapLog,
'^/qa/man/(.*)',http://user.anjuke.com/qa/man/,问答管理中心,
'^/content/recoqaindex(.*)',http://user.anjuke.com/content/recoqaindex/,问答管理中心-》首页问题配置,
'^/content/recolist(.*)',http://user.anjuke.com/content/recolist/,问答管理中心-》专题列表,
'^/content/firewallsetting(.*)',http://user.anjuke.com/content/firewallsetting/,问答管理中心-》防火墙设置,
'^/content/scoreconfig(.*)',http://user.anjuke.com/content/hotitmsetting/,问答管理中心-》热门词条配置,
'^/shop/question/([0-9]+)',http://shanghai.anjuke.com/shop/question/1342973,经纪人店铺-》问答,
'^/qa/expert',http://shanghai.anjuke.com/qa/expert,问答房产专家推荐排行榜,
'^/community/?(.*)W0QQ.*',http://shanghai.anjuke.com/community/?from=navigation,小区列表页,
'^/community/?(.*)',http://shanghai.anjuke.com/community/?from=navigation,小区列表页,
'^/baike/([0-9]+)$',http://www.anjuke.com/baike/39310?from=baike_list_1,问答百科单页,
"'^/league/view/([0-9]{1,11})(.*)'",http://user.anjuke.com/league/view/32?from=class_league,问答外部专家联盟主页,
"'^/fcleague/view/([0-9]{1,11})(.*)'",http://user.anjuke.com/fcleague/view/340?from=broker_league,内部专家经纪人联盟主页,
'^/member/group/?$',http://user.anjuke.com/member/group/,用户中心-》订阅管理-》我的小组,
'^/expert/view/',http://user.anjuke.com/expert/view/,专家主页,
'^/consult/view/([0-9]+)/(.*)W0QQ.*',http://user.anjuke.com/consult/view/1547/W0QQactZ3,问答房产顾问个人主页,
 '^/shop/ufs/([0-9]+)',http://shanghai.anjuke.com/shop/ufs/64479,经纪人店铺UFS,
 '^/qa/consultant/(loan|law|zxfs)$',http://shanghai.anjuke.com/qa/consultant/law?from=expert_star,问答法律专家列表页,
'^/consult/apply$',http://user.anjuke.com/consult/apply#apply_meta,外部专家申请页,
'^/jingjiren',http://user.anjuke.com/jingjiren,免费选经纪人帮我卖房,
'^/ownverify',http://user.anjuke.com/ownverify,确认委托房源,
'^/mobile/getapp/?',http://user.anjuke.com/mobile/getapp/,手机app区分跳转页面,
'^/member/letter/([0-9]+)/?$',http://user.anjuke.com/member/letter/2085260/,个人用户私信,
'^/member/letter/([0-9]+)/([0-9]+)/?$',http://user.anjuke.com/member/letter/2085260/3593135/,个人用户私信详细,
'^/member/sendletter/?$',http://user.anjuke.com/member/sendletter/,个人用户系统发私信详细,
'^/ufs/Luckdraw/',http://user.anjuke.com/ufs/Luckdraw/,ufs抽奖页面,
'^/content/consult/league/(.*)',http://user.anjuke.com/content/consult/league/,问答管理中心-》盟管理,
'^/content/consult/fcleague/(.*)',http://user.anjuke.com/content/consult/fcleague/,问答管理中心-》经纪人盟管理,
'^/content/consult/search/(.*)',http://user.anjuke.com/content/consult/search/,问答管理中心-》盟管理-》盟列表,
^/content/consult/fcsearch/(.*)',http://user.anjuke.com/content/consult/fcsearch/,问答管理中心-》经纪人盟管理-》盟列表,
'^/content/consult/LeagueLog/',http://user.anjuke.com/content/consult/LeagueLog/,问答管理中心-》盟管理-》操作记录,
 '^/content/consult/fcLeagueLog/',http://user.anjuke.com/content/consult/fcLeagueLog/,问答管理中心-》经纪人盟管理-》操作记录,
'^/content/leaguerank/(.*)',http://shanghai.anjuke.com/content/leaguerank/?from=class_league,外部专家联盟排行榜,
'^/qaactivitylist/(.*)',http://user.anjuke.com/qaactivitylist/,问答活动列表页,
'^/qaactivitymanage/(.*)',http://user.anjuke.com/qaactivitymanage/,问答活动管理页,
 '^/content/leaguefcrank/(.*)',http://shanghai.anjuke.com/content/leaguefcrank/?from=broker_league,经纪人联盟排行榜,
'^/content/consult/EditLeague/(.*)',http://user.anjuke.com/content/consult/EditLeague/W0QQlgidZ60,编辑外部联盟信息,
 '^/content/consult/EditFCLeague/(.*)',http://user.anjuke.com/content/consult/EditFCLeague/W0QQlgidZ60,编辑经纪人联盟信息,
'^/content/consult/ListLeague/(.*)',http://user.anjuke.com/content/consult/ListLeague/W0QQactZ1QQlgidZ60QQselZ0,问答管理中心->外部专家联盟列表页,
 '^/content/consult/ListFCLeague/(.*)',http://user.anjuke.com/content/consult/ListFCLeague/W0QQactZ1QQlgidZ174QQselZ0,问答管理中心->内部专家联盟列表页,
'^/mobile',http://shanghai.anjuke.com/mobile,移动下载页,
'^/subscribe/manage/list/(.*)',http://user.anjuke.com/subscribe/manage/list/,用户中心-》订阅管理,
'^/cms/([0-9]+).html',http://topic.anjuke.com/cms/255.html,cms专题页面,
'^/semgo/.*',,pad.anjuke.com跳转,
'^/member/modify/userinfo/',http://shanghai.anjuke.com/member/modify/userinfo/,用户中心-》资料修改,
'^/member/modify/usermobile/',http://user.anjuke.com/member/modify/usermobile/,用户中心-》手机修改,
 '^/2013beauty/show/([0-9]+)',http://shanghai.anjuke.com/2013beauty/show/1,市场部活动——2013最美经纪人个人主页,
 '^/2013beauty/join/?$',http://shanghai.anjuke.com/2013beauty/join/,参加最美经纪人入口页面,
'^/2013beauty/result/(.*)?$',http://topic.anjuke.com/2013beauty/result/,最美经纪人活动结果页,
'^/suggestion',http://shanghai.anjuke.com/suggestion,意见反馈页面,
'^/content/addbaike/(.*)',http://user.anjuke.com/content/addbaike/,问答管理中心-》添加百科词条,
'^/content/lockbaike/(.*)',http://user.anjuke.com/content/lockbaike/,问答管理中心-》锁定词条列表,
'^/content/diybaike/(.*)',http://user.anjuke.com/content/diybaike/,问答管理中心-》手动更新百科列表,
'^/baike/search/(.*)',http://www.anjuke.com/baike/search/?kw=%E5%85%AC%E7%A7%AF%E9%87%91,百科搜索结果页,
'^/baike/edit/example/$',http://shanghai.anjuke.com/baike/edit/example/,百科编辑示例页,
'^/baike(/?)$',http://shanghai.anjuke.com/baike/,百科首页,
'^/baike/category$',http://shanghai.anjuke.com/baike/,百科首页,
^/baike/category/$',http://shanghai.anjuke.com/baike/,百科首页,
 '^/baike/category-([0-9]+)/$',http://www.anjuke.com/baike/category-6/?from=baike_class_sub_6,百科分类页,
'^/2014app$',http://www.anjuke.com/2014app,市场部活动——app下载页,
^/2014app/list/?(.*)$',http://www.anjuke.com/2014app/list?type=winners,市场运营下载APP投票活动列表页,
